Age,Number Of People,Percentage,Suburb,Order
0-4 years,319,3.9,Abbotsford,1
5-9 years,172,2.1,Abbotsford,2
10-14 years,153,1.9,Abbotsford,3
15-19 years,210,2.6,Abbotsford,4
20-24 years,760,9.3,Abbotsford,5
25-29 years,1697,20.8,Abbotsford,6
30-34 years,1485,18.2,Abbotsford,7
35-39 years,798,9.8,Abbotsford,8
40-44 years,485,5.9,Abbotsford,9
45-49 years,401,4.9,Abbotsford,10
50-54 years,383,4.7,Abbotsford,11
55-59 years,313,3.8,Abbotsford,12
60-64 years,293,3.6,Abbotsford,13
65-69 years,251,3.1,Abbotsford,14
70-74 years,165,2.0,Abbotsford,15
75-79 years,93,1.1,Abbotsford,16
80-84 years,91,1.1,Abbotsford,17
85 years and over,104,1.3,Abbotsford,18
0-4 years,431,5.1,Collingwood,1
5-9 years,310,3.6,Collingwood,2
10-14 years,236,2.8,Collingwood,3
15-19 years,267,3.1,Collingwood,4
20-24 years,731,8.6,Collingwood,5
25-29 years,1594,18.8,Collingwood,6
30-34 years,1378,16.2,Collingwood,7
35-39 years,882,10.4,Collingwood,8
40-44 years,575,6.8,Collingwood,9
45-49 years,507,6.0,Collingwood,10
50-54 years,388,4.6,Collingwood,11
55-59 years,363,4.3,Collingwood,12
60-64 years,264,3.1,Collingwood,13
65-69 years,170,2.0,Collingwood,14
70-74 years,153,1.8,Collingwood,15
75-79 years,103,1.2,Collingwood,16
80-84 years,79,0.9,Collingwood,17
85 years and over,68,0.8,Collingwood,18
0-4 years,405,6.4,Clifton Hill,1
5-9 years,384,6.1,Clifton Hill,2
10-14 years,252,4.0,Clifton Hill,3
15-19 years,204,3.2,Clifton Hill,4
20-24 years,326,5.2,Clifton Hill,5
25-29 years,695,11.0,Clifton Hill,6
30-34 years,691,10.9,Clifton Hill,7
35-39 years,592,9.4,Clifton Hill,8
40-44 years,540,8.5,Clifton Hill,9
45-49 years,449,7.1,Clifton Hill,10
50-54 years,387,6.1,Clifton Hill,11
55-59 years,357,5.6,Clifton Hill,12
60-64 years,337,5.3,Clifton Hill,13
65-69 years,294,4.6,Clifton Hill,14
70-74 years,173,2.7,Clifton Hill,15
75-79 years,103,1.6,Clifton Hill,16
80-84 years,80,1.3,Clifton Hill,17
85 years and over,55,0.9,Clifton Hill,18
0-4 years,1065,4.3,Kew,1
5-9 years,1382,5.6,Kew,2
10-14 years,1503,6.1,Kew,3
15-19 years,1690,6.9,Kew,4
20-24 years,1907,7.8,Kew,5
25-29 years,1866,7.6,Kew,6
30-34 years,1554,6.3,Kew,7
35-39 years,1437,5.8,Kew,8
40-44 years,1536,6.2,Kew,9
45-49 years,1802,7.3,Kew,10
50-54 years,1744,7.1,Kew,11
55-59 years,1560,6.3,Kew,12
60-64 years,1381,5.6,Kew,13
65-69 years,1233,5.0,Kew,14
70-74 years,951,3.9,Kew,15
75-79 years,665,2.7,Kew,16
80-84 years,554,2.3,Kew,17
85 years and over,763,3.1,Kew,18
0-4 years,1173,4.2,Richmond,1
5-9 years,859,3.1,Richmond,2
10-14 years,746,2.7,Richmond,3
15-19 years,833,3.0,Richmond,4
20-24 years,2226,8.0,Richmond,5
25-29 years,4860,17.5,Richmond,6
30-34 years,4246,15.3,Richmond,7
35-39 years,2553,9.2,Richmond,8
40-44 years,1867,6.7,Richmond,9
45-49 years,1691,6.1,Richmond,10
50-54 years,1411,5.1,Richmond,11
55-59 years,1280,4.6,Richmond,12
60-64 years,1092,3.9,Richmond,13
65-69 years,966,3.5,Richmond,14
70-74 years,655,2.4,Richmond,15
75-79 years,534,1.9,Richmond,16
80-84 years,397,1.4,Richmond,17
85 years and over,333,1.2,Richmond,18
0-4 years,359,5.5,Fairfield,1
5-9 years,327,5.0,Fairfield,2
10-14 years,286,4.4,Fairfield,3
15-19 years,321,4.9,Fairfield,4
20-24 years,503,7.7,Fairfield,5
25-29 years,663,10.1,Fairfield,6
30-34 years,703,10.7,Fairfield,7
35-39 years,547,8.3,Fairfield,8
40-44 years,507,7.7,Fairfield,9
45-49 years,482,7.4,Fairfield,10
50-54 years,423,6.5,Fairfield,11
55-59 years,375,5.7,Fairfield,12
60-64 years,297,4.5,Fairfield,13
65-69 years,231,3.5,Fairfield,14
70-74 years,161,2.5,Fairfield,15
75-79 years,141,2.2,Fairfield,16
80-84 years,123,1.9,Fairfield,17
85 years and over,105,1.6,Fairfield,18
0-4 years,152,3.1,East Melbourne,1
5-9 years,86,1.7,East Melbourne,2
10-14 years,64,1.3,East Melbourne,3
15-19 years,91,1.8,East Melbourne,4
20-24 years,343,6.9,East Melbourne,5
25-29 years,719,14.5,East Melbourne,6
30-34 years,681,13.7,East Melbourne,7
35-39 years,446,9.0,East Melbourne,8
40-44 years,276,5.6,East Melbourne,9
45-49 years,285,5.7,East Melbourne,10
50-54 years,285,5.7,East Melbourne,11
55-59 years,303,6.1,East Melbourne,12
60-64 years,365,7.4,East Melbourne,13
65-69 years,302,6.1,East Melbourne,14
70-74 years,243,4.9,East Melbourne,15
75-79 years,105,2.1,East Melbourne,16
80-84 years,73,1.5,East Melbourne,17
85 years and over,146,2.9,East Melbourne,18
0-4 years,567,5.84,Yarra - North,1
5-9 years,539,5.55,Yarra - North,2
10-14 years,390,4.02,Yarra - North,3
15-19 years,413,4.26,Yarra - North,4
20-24 years,604,6.22,Yarra - North,5
25-29 years,1066,10.98,Yarra - North,6
30-34 years,1004,10.35,Yarra - North,7
35-39 years,827,8.52,Yarra - North,8
40-44 years,799,8.23,Yarra - North,9
45-49 years,680,7.01,Yarra - North,10
50-54 years,637,6.56,Yarra - North,11
55-59 years,562,5.79,Yarra - North,12
60-64 years,505,5.2,Yarra - North,13
65-69 years,446,4.6,Yarra - North,14
70-74 years,282,2.91,Yarra - North,15
75-79 years,154,1.59,Yarra - North,16
80-84 years,116,1.2,Yarra - North,17
85 years and over,114,1.17,Yarra - North,18
0-4 years,1023,4.4,Hawthorn,1
5-9 years,1049,4.5,Hawthorn,2
10-14 years,987,4.2,Hawthorn,3
15-19 years,1414,6,Hawthorn,4
20-24 years,2827,12,Hawthorn,5
25-29 years,3257,13.9,Hawthorn,6
30-34 years,2676,11.4,Hawthorn,7
35-39 years,1833,7.8,Hawthorn,8
40-44 years,1387,5.9,Hawthorn,9
45-49 years,1300,5.5,Hawthorn,10
50-54 years,1219,5.2,Hawthorn,11
55-59 years,986,4.2,Hawthorn,12
60-64 years,903,3.8,Hawthorn,13
65-69 years,876,3.7,Hawthorn,14
70-74 years,657,2.8,Hawthorn,15
75-79 years,452,1.9,Hawthorn,16
80-84 years,304,1.3,Hawthorn,17
85 years and over,360,1.5,Hawthorn,18
