Occupation,Number Of People,Percentage,Suburb
Professionals,"2,179",42.1,Abbotsford
Managers,860,16.6,Abbotsford
Clerical and Administrative Workers,541,10.5,Abbotsford
Community and Personal Service Workers,472,9.1,Abbotsford
Technicians and Trades Workers,396,7.7,Abbotsford
Sales Workers,378,7.3,Abbotsford
Labourers,182,3.5,Abbotsford
Machinery Operators and Drivers,78,1.5,Abbotsford
Professionals,"1,990",42.2,Collingwood
Managers,749,15.9,Collingwood
Clerical and Administrative Workers,479,10.2,Collingwood
Community and Personal Service Workers,455,9.6,Collingwood
Technicians and Trades Workers,375,7.9,Collingwood
Sales Workers,320,6.8,Collingwood
Labourers,188,4.0,Collingwood
Machinery Operators and Drivers,73,1.5,Collingwood
Professionals,"4,941",40.5,Kew
Managers,"2,369",19.4,Kew
Clerical and Administrative Workers,"1,481",12.1,Kew
Sales Workers,"1,053",8.6,Kew
Community and Personal Service Workers,968,7.9,Kew
Technicians and Trades Workers,678,5.6,Kew
Labourers,358,2.9,Kew
Machinery Operators and Drivers,135,1.1,Kew
Professionals,"6,647",39.4,Richmond
Managers,"2,979",17.6,Richmond
Clerical and Administrative Workers,"1,986",11.8,Richmond
Community and Personal Service Workers,"1,424",8.4,Richmond
Sales Workers,"1,407",8.3,Richmond
Technicians and Trades Workers,"1,237",7.3,Richmond
Labourers,668,4.0,Richmond
Machinery Operators and Drivers,274,1.6,Richmond
Professionals,"1,461",48.2,East Melbourne
Managers,596,19.7,East Melbourne
Clerical and Administrative Workers,353,11.6,East Melbourne
Community and Personal Service Workers,217,7.2,East Melbourne
Sales Workers,161,5.3,East Melbourne
Technicians and Trades Workers,113,3.7,East Melbourne
Labourers,61,2.0,East Melbourne
Machinery Operators and Drivers,21,0.7,East Melbourne
Professionals,2384,46.9,Yarra - North
Managers,829,16.3,Yarra - North
Clerical and Administrative Workers,11,10.6,Yarra - North
Community and Personal Service Workers,8,7.6,Yarra - North
Sales Workers,300,5.9,Yarra - North
Technicians and Trades Workers,336,6.6,Yarra - North
Labourers,158,3.1,Yarra - North
Machinery Operators and Drivers,66,1.3,Yarra - North
Professionals,"5,302",41.1,Hawthorn
Managers,"2,117",16.4,Hawthorn
Clerical and Administrative Workers,"1,593",12.3,Hawthorn
Community and Personal Service Workers,"1,179",9.1,Hawthorn
Sales Workers,"1,121",8.7,Hawthorn
Technicians and Trades Workers,740,5.7,Hawthorn
Labourers,516,4,Hawthorn
Machinery Operators and Drivers,146,1.1,Hawthorn
